game_id,avg_total_yds,avg_TO
961968SDG,,
9151968CIN,,
9221968CIN,,
9291968CIN,,
1061968DEN,,
10131968KAN,,
10201968CIN,,
10271968RAI,,
1131968CIN,,
11101968CIN,,
11171968MIA,,
11241968CIN,,
1211968NWE,,
1281968NYJ,,
9141969CIN,,
9211969CIN,,
9281969CIN,260.3529411764706,1.6470588235294117
1041969SDG,260.0588235294117,1.5882352941176472
10121969CIN,258.2352941176471,1.7647058823529411
10191969CIN,261.4705882352941,1.8235294117647056
10261969KAN,261.52941176470586,1.8235294117647056
1121969CIN,265.8235294117647,1.8823529411764703
1191969OTI,282.0,1.8235294117647056
11161969CIN,280.70588235294116,1.9411764705882355
11231969NYJ,276.58823529411757,2.0
11301969BUF,269.4705882352941,2.411764705882353
1271969RAI,265.1764705882353,2.411764705882353
12141969DEN,258.0,2.5294117647058822
9201970CIN,270.70588235294116,2.411764705882353
9271970DET,266.4705882352941,2.588235294117647
1041970CIN,271.7647058823529,2.647058823529412
10111970CLE,272.29411764705884,2.647058823529412
10181970CIN,259.58823529411757,2.588235294117647
10251970WAS,254.88235294117646,2.588235294117647
1121970PIT,258.4705882352941,2.7058823529411766
1181970BUF,262.11764705882354,2.5294117647058822
11151970CIN,266.6470588235294,2.5294117647058822
11221970CIN,274.6470588235294,2.4705882352941178
11291970CIN,273.29411764705884,2.411764705882353
1261970SDG,258.29411764705884,2.4705882352941178
12131970OTI,260.2352941176471,2.235294117647059
12201970CIN,275.88235294117646,2.0588235294117645
12261970CLT,269.1764705882353,1.7058823529411764
9191971CIN,288.11764705882354,1.6470588235294117
9261971PIT,285.35294117647067,1.5294117647058822
1031971GNB,274.41176470588243,1.5882352941176472
10101971CIN,285.5882352941176,1.4117647058823528
10171971CIN,290.9411764705883,1.4117647058823528
10241971RAI,291.76470588235287,1.4117647058823528
10311971OTI,281.5882352941176,1.4117647058823528
1171971CIN,278.41176470588243,1.2941176470588236
11141971DEN,289.64705882352933,1.1764705882352942
11211971CIN,286.29411764705884,1.2941176470588236
11281971CIN,290.88235294117646,1.2352941176470589
1251971CLE,291.70588235294116,1.2941176470588236
12121971CIN,294.70588235294116,1.5294117647058822
12191971NYJ,303.9411764705883,1.4705882352941178
9171972NWE,305.0588235294117,1.4117647058823528
9241972CIN,295.9411764705883,1.6470588235294117
1011972CLE,307.2352941176472,1.8235294117647056
1081972CIN,287.64705882352933,1.8235294117647056
10151972KAN,287.5294117647058,1.8823529411764703
10221972RAM,293.70588235294116,1.8823529411764703
10291972CIN,303.4705882352941,1.9411764705882355
1151972PIT,305.0588235294117,2.0
11121972CIN,304.0588235294117,2.0
11191972CIN,314.88235294117646,2.0
11261972CHI,321.0,2.0
1231972CIN,311.8235294117647,2.0588235294117645
1291972CIN,316.0,2.176470588235294
12171972OTI,312.0,2.117647058823529
9161973DEN,311.88235294117646,2.0588235294117645
9231973CIN,313.29411764705884,1.7647058823529411
9301973SDG,320.5882352941176,1.8823529411764703
1071973CLE,315.0588235294117,2.0588235294117645
10141973CIN,313.9411764705883,1.8235294117647056
10211973CIN,314.11764705882354,1.7647058823529411
10281973PIT,321.11764705882354,2.0
1141973DAL,322.29411764705884,2.117647058823529
11111973BUF,322.1764705882353,2.235294117647059
11181973CIN,305.2352941176472,2.176470588235294
11251973CIN,305.2352941176472,2.0588235294117645
1221973CIN,311.0588235294117,2.0
1291973CIN,317.35294117647067,2.0
12161973OTI,323.88235294117646,1.9411764705882355
12231973MIA,316.64705882352933,1.8823529411764703
9151974CIN,317.11764705882354,1.7647058823529411
9221974CIN,318.88235294117646,1.8235294117647056
9291974SFO,320.5882352941176,1.8823529411764703
1061974CIN,312.29411764705884,1.9411764705882355
10131974CLE,314.35294117647067,1.8823529411764703
10201974RAI,315.76470588235287,1.8235294117647056
10271974CIN,325.4705882352941,2.176470588235294
1131974CLT,329.5882352941176,2.0588235294117645
11101974CIN,330.2352941176472,1.9411764705882355
11171974OTI,328.29411764705884,1.8235294117647056
11241974CIN,337.5294117647058,1.6470588235294117
1221974MIA,334.8235294117647,1.7647058823529411
1281974CIN,328.11764705882354,1.8823529411764703
12141974PIT,319.9411764705883,2.0
9211975CIN,320.2352941176472,2.0588235294117645
9281975NOR,315.0588235294117,2.117647058823529
1051975OTI,319.0588235294117,2.176470588235294
10121975CIN,325.1764705882353,2.0588235294117645
10191975CIN,314.0588235294117,2.235294117647059
10261975ATL,309.76470588235287,2.235294117647059
1121975CIN,317.76470588235287,2.3529411764705883
1191975DEN,311.4117647058824,2.3529411764705883
11171975CIN,327.0588235294117,2.2941176470588243
11231975CLE,326.29411764705884,2.117647058823529
11301975CIN,319.5294117647058,2.117647058823529
1271975PHI,328.64705882352933,2.2941176470588243
12131975PIT,333.29411764705884,2.2941176470588243
12211975CIN,333.35294117647067,2.4705882352941178
12281975RAI,339.0,2.2941176470588243
9121976CIN,339.0588235294117,2.176470588235294
9191976CLT,345.5294117647058,2.235294117647059
9261976CIN,340.0588235294117,2.176470588235294
1031976CLE,346.1764705882353,2.176470588235294
10101976CIN,347.05882352941177,2.235294117647059
10171976PIT,330.88235294117646,2.411764705882353
10241976OTI,339.35294117647067,2.176470588235294
10311976CIN,344.3529411764707,2.235294117647059
1181976CIN,340.35294117647067,2.176470588235294
11141976CIN,337.76470588235287,2.2941176470588243
11211976KAN,327.1764705882353,2.588235294117647
11281976CIN,316.76470588235287,2.5294117647058822
1261976RAI,320.8235294117647,2.647058823529412
12121976NYJ,312.5882352941176,2.411764705882353
9181977CIN,308.35294117647067,2.4705882352941178
