game_id,avg_total_yds,avg_TO
9111966PIT,,
9181966PIT,,
9251966PIT,,
1021966WAS,,
1081966CLE,,
10161966PIT,,
10301966DAL,,
1161966PIT,,
11131966PIT,,
11201966PIT,,
11271966CRD,,
1241966PHI,,
12111966NYG,,
12181966ATL,,
9171967PIT,,
9241967PIT,,
1011967PHI,258.4705882352941,2.9411764705882355
1071967CLE,251.05882352941174,3.0
10151967PIT,251.2352941176471,3.0588235294117645
10221967PIT,257.1764705882353,2.8235294117647056
10291967NOR,258.2352941176471,2.8235294117647056
1151967PIT,263.9411764705883,2.647058823529412
11121967CRD,269.58823529411757,2.5294117647058822
11191967NYG,279.11764705882354,2.4705882352941178
11261967PIT,270.29411764705884,2.8235294117647056
1231967DET,280.88235294117646,2.7058823529411766
12101967PIT,287.76470588235287,2.8235294117647056
12171967GNB,294.5882352941176,2.8823529411764706
9151968PIT,298.9411764705883,3.0
9221968RAM,291.0588235294117,3.117647058823529
9291968PIT,276.6470588235294,3.294117647058824
1051968CLE,269.52941176470586,3.294117647058824
10131968WAS,272.4705882352941,3.117647058823529
10201968PIT,271.4705882352941,3.0588235294117645
10271968PIT,269.7647058823529,2.8823529411764706
1131968ATL,278.1764705882353,2.8235294117647056
11101968CRD,277.2352941176471,2.7058823529411766
11171968PIT,282.29411764705884,2.8823529411764706
11241968PIT,285.2352941176472,3.0
1211968PIT,278.9411764705883,3.117647058823529
1281968DAL,280.8235294117647,3.0
12151968NOR,294.5294117647058,2.8823529411764706
9211969PIT,289.0588235294117,3.0588235294117645
9281969PHI,293.4705882352941,2.8823529411764706
1051969PIT,302.35294117647067,3.0
10121969NYG,296.88235294117646,3.0
10181969CLE,300.5294117647058,3.294117647058824
10261969PIT,305.70588235294116,3.1764705882352944
1121969PIT,310.0588235294117,3.294117647058824
1191969CHI,298.2352941176472,3.3529411764705883
11161969PIT,296.88235294117646,3.4705882352941178
11231969MIN,290.76470588235287,3.7058823529411766
11301969CRD,278.11764705882354,3.882352941176471
1271969PIT,269.52941176470586,3.9411764705882364
12141969PIT,267.0588235294117,3.647058823529412
12211969NOR,262.11764705882354,3.3529411764705883
9201970PIT,264.88235294117646,3.2352941176470584
9271970DEN,260.88235294117646,3.3529411764705883
1031970CLE,255.7647058823529,3.3529411764705883
10111970PIT,254.11764705882354,3.117647058823529
10181970OTI,247.4117647058824,3.2352941176470584
10251970RAI,242.7647058823529,3.2352941176470584
1121970PIT,245.70588235294116,3.0588235294117645
1181970PIT,243.17647058823533,2.7058823529411766
11151970PIT,237.35294117647058,2.9411764705882355
11221970CIN,235.88235294117646,3.0588235294117645
11291970PIT,255.82352941176467,2.9411764705882355
1261970PIT,255.5882352941176,3.0588235294117645
12131970ATL,258.41176470588243,3.117647058823529
12201970PHI,267.4705882352941,3.0
9191971CHI,275.41176470588243,3.3529411764705883
9261971PIT,274.0588235294117,3.4117647058823533
1031971PIT,274.9411764705883,3.4705882352941178
10101971CLE,275.41176470588243,3.4705882352941178
10181971KAN,279.9411764705883,3.5294117647058822
10241971PIT,289.11764705882354,3.5882352941176467
10311971CLT,287.4705882352941,3.7058823529411766
1171971PIT,296.4117647058824,3.5294117647058822
11141971MIA,297.70588235294116,3.4705882352941178
11211971PIT,291.4705882352941,3.4117647058823533
11281971PIT,288.4117647058824,3.4705882352941178
1251971OTI,284.29411764705884,3.294117647058824
12121971CIN,281.41176470588243,3.117647058823529
12191971PIT,275.88235294117646,3.294117647058824
9171972PIT,274.29411764705884,3.1764705882352944
9241972CIN,275.0,3.0
1011972CRD,276.2352941176471,3.0
1081972DAL,271.52941176470586,2.7058823529411766
10151972PIT,271.9411764705883,2.5294117647058822
10221972PIT,280.41176470588243,2.5294117647058822
10291972BUF,285.5294117647058,2.5294117647058822
1151972PIT,291.0,2.2941176470588243
11121972PIT,285.0588235294117,2.2941176470588243
11191972CLE,292.88235294117646,2.2941176470588243
11261972PIT,286.9411764705883,2.411764705882353
1231972PIT,289.8235294117647,2.235294117647059
12101972OTI,290.88235294117646,2.2941176470588243
12171972SDG,292.11764705882354,2.176470588235294
12231972PIT,299.1764705882353,2.0588235294117645
12311972PIT,297.88235294117646,2.0
9161973PIT,301.64705882352933,1.8235294117647056
9231973PIT,308.8235294117647,1.6470588235294117
9301973OTI,311.76470588235287,1.6470588235294117
1071973PIT,307.29411764705884,1.8235294117647056
10141973CIN,299.4117647058824,1.8823529411764703
10211973PIT,303.2352941176472,2.0
10281973PIT,292.4117647058824,2.176470588235294
1151973PIT,289.2352941176472,2.3529411764705883
11111973RAI,276.2352941176471,2.411764705882353
11181973PIT,275.1764705882353,2.2941176470588243
11251973CLE,279.0588235294117,2.2941176470588243
1231973MIA,277.6470588235294,2.4705882352941178
1291973PIT,276.6470588235294,2.647058823529412
12151973SFO,283.4117647058824,2.588235294117647
12221973RAI,282.0588235294117,2.7058823529411766
9151974PIT,290.29411764705884,2.764705882352941
9221974DEN,304.0588235294117,2.8823529411764706
9291974PIT,292.76470588235287,3.0
1061974OTI,293.76470588235287,3.117647058823529
10131974KAN,297.64705882352933,3.1764705882352944
10201974PIT,294.4117647058824,2.9411764705882355
10281974PIT,307.1764705882353,3.0
1131974PIT,308.0588235294117,2.8823529411764706
11101974CIN,310.8235294117647,2.7058823529411766
11171974CLE,314.29411764705884,2.8235294117647056
11251974NOR,322.5294117647058,3.0
1211974PIT,309.8235294117647,3.0
1281974NWE,302.35294117647067,3.0
12141974PIT,307.4117647058824,2.764705882352941
12221974PIT,314.35294117647067,2.5294117647058822
