game_id,avg_total_yds,avg_TO
911996RAV,,
981996PIT,,
9151996OTI,,
9291996RAV,,
1061996RAV,,
10131996CLT,,
10201996DEN,,
10271996RAV,,
1131996RAV,,
11101996JAX,,
11171996SFO,,
11241996RAV,,
1211996RAV,,
1281996CIN,,
12151996CAR,,
12221996RAV,,
8311997RAV,358.5882352941177,2.117647058823529
971997RAV,364.35294117647067,2.235294117647059
9141997NYG,365.6470588235293,2.117647058823529
9211997OTI,372.5294117647058,1.9411764705882355
9281997SDG,371.6470588235293,2.117647058823529
1051997RAV,363.9411764705882,2.3529411764705883
10191997RAV,367.47058823529403,2.411764705882353
10261997WAS,363.9411764705882,2.411764705882353
1121997NYJ,362.1176470588235,2.2941176470588243
1191997PIT,350.4117647058823,2.4705882352941178
11161997RAV,347.0,2.411764705882353
11231997RAV,349.7058823529412,2.235294117647059
11301997JAX,335.64705882352933,2.117647058823529
1271997RAV,335.76470588235287,2.235294117647059
12141997RAV,331.29411764705884,2.235294117647059
12211997CIN,333.4117647058824,2.0588235294117645
961998RAV,333.35294117647067,1.9411764705882355
9131998NYJ,330.88235294117646,1.8235294117647056
9201998JAX,325.0588235294117,1.7058823529411764
9271998RAV,333.0,1.7058823529411764
10111998RAV,325.0588235294117,1.7647058823529411
10181998PIT,319.29411764705884,1.8823529411764703
10251998GNB,313.4705882352941,1.7058823529411764
1111998RAV,311.8235294117647,1.8823529411764703
1181998RAV,304.8235294117647,1.8823529411764703
11151998SDG,288.0,1.8823529411764703
11221998CIN,297.76470588235287,1.5882352941176472
11291998RAV,296.88235294117646,1.4705882352941178
1261998OTI,291.4117647058824,1.5294117647058822
12131998RAV,294.11764705882354,1.8823529411764703
12201998CHI,282.5882352941176,1.7647058823529411
12271998RAV,285.4705882352941,1.7647058823529411
9121999RAM,277.70588235294116,1.8823529411764703
9191999RAV,272.7647058823529,2.0588235294117645
9261999RAV,272.9411764705883,2.176470588235294
1031999ATL,272.58823529411757,2.117647058823529
10101999OTI,263.0588235294117,2.117647058823529
10211999RAV,263.88235294117646,2.235294117647059
10311999RAV,262.11764705882354,2.0588235294117645
1171999CLE,266.9411764705883,2.0
11141999JAX,260.1764705882353,1.7647058823529411
11211999CIN,264.1764705882353,1.8235294117647056
11281999RAV,271.1764705882353,1.8823529411764703
1251999RAV,277.6470588235294,1.8235294117647056
12121999PIT,281.1764705882353,1.8235294117647056
12191999RAV,287.88235294117646,2.0
12261999RAV,290.4705882352941,1.7058823529411764
122000NWE,298.4117647058824,1.8823529411764703
932000PIT,300.8235294117647,1.8235294117647056
9102000RAV,307.1764705882353,1.8235294117647056
9172000MIA,305.4117647058824,1.7058823529411764
9242000RAV,308.76470588235287,1.5882352941176472
1012000CLE,311.1764705882353,1.6470588235294117
1082000JAX,308.11764705882354,1.6470588235294117
10152000WAS,303.5294117647058,1.5294117647058822
10222000RAV,313.4117647058824,1.6470588235294117
10292000RAV,311.0,1.7647058823529411
1152000CIN,319.0,1.7058823529411764
11122000OTI,323.70588235294116,1.6470588235294117
11192000RAV,335.4117647058824,1.5882352941176472
11262000RAV,336.1764705882353,1.6470588235294117
12102000RAV,330.4117647058824,1.8235294117647056
12172000CRD,323.29411764705884,1.7058823529411764
12242000RAV,313.35294117647067,1.7647058823529411
12312000RAV,309.0588235294117,1.5294117647058822
172001OTI,297.1764705882353,1.5294117647058822
1142001RAI,294.29411764705884,1.5294117647058822
1282001RAV,293.2352941176472,1.4705882352941178
992001RAV,288.8235294117647,1.5294117647058822
9232001CIN,290.8235294117647,1.8235294117647056
9302001DEN,299.0,1.8235294117647056
1072001RAV,314.35294117647067,1.7647058823529411
10142001GNB,313.70588235294116,1.7647058823529411
10212001CLE,316.4705882352941,1.7647058823529411
10282001RAV,312.1764705882353,1.8235294117647056
1142001PIT,301.70588235294116,1.8235294117647056
11122001OTI,287.5294117647058,1.8235294117647056
11182001RAV,281.0,2.0
11252001JAX,286.0,1.9411764705882355
1222001RAV,296.8235294117647,2.0588235294117645
12162001RAV,300.64705882352933,2.0
12232001RAV,304.4705882352941,2.0588235294117645
12292001TAM,311.70588235294116,2.235294117647059
172002RAV,315.76470588235287,2.117647058823529
1132002MIA,321.8235294117647,2.176470588235294
1202002PIT,312.0588235294117,2.2941176470588243
982002CAR,306.5882352941176,2.0
9152002RAV,297.1764705882353,2.0
9302002RAV,283.64705882352933,2.117647058823529
1062002CLE,286.70588235294116,1.9411764705882355
10132002CLT,282.1764705882353,1.9411764705882355
10202002RAV,279.58823529411757,2.0
10272002RAV,290.0,2.235294117647059
1132002ATL,296.0,2.235294117647059
11102002RAV,294.5294117647058,2.0588235294117645
11172002MIA,282.5294117647058,2.0
11242002RAV,270.8235294117647,1.8823529411764703
1212002CIN,273.1764705882353,1.8235294117647056
1282002RAV,279.3529411764706,2.0588235294117645
12152002HTX,281.76470588235287,1.8823529411764703
