game_id,avg_total_yds,avg_TO
991966MIA,,
9181966NYJ,,
9251966DEN,,
1021966NWE,,
1081966NYJ,,
10161966OTI,,
10231966NYJ,,
10301966NYJ,,
11131966BUF,,
11201966NYJ,,
11271966NYJ,,
1231966RAI,,
12111966SDG,,
12171966NYJ,,
9101967BUF,,
9241967DEN,,
1011967NYJ,362.05882352941177,2.411764705882353
1071967NYJ,365.0,2.411764705882353
10151967NYJ,359.1764705882353,2.764705882352941
10221967MIA,357.7647058823529,2.588235294117647
10291967NYJ,360.2352941176471,2.5294117647058822
1151967KAN,365.6470588235293,2.588235294117647
11121967NYJ,374.1176470588235,2.4705882352941178
11191967NWE,373.7058823529412,2.4705882352941178
1231967NYJ,374.7058823529412,2.4705882352941178
12101967NYJ,365.1764705882353,2.588235294117647
12171967RAI,374.0,2.764705882352941
12241967SDG,382.5882352941177,2.7058823529411766
9151968KAN,377.1764705882353,2.5294117647058822
9221968NWE,373.2352941176471,2.4705882352941178
9291968BUF,367.29411764705884,2.8235294117647056
1051968NYJ,368.1764705882353,2.8235294117647056
10131968NYJ,367.1176470588235,3.0
10201968OTI,352.2352941176471,2.9411764705882355
10271968NYJ,355.7058823529412,2.9411764705882355
1131968NYJ,350.2352941176471,2.647058823529412
11101968NYJ,348.8235294117647,2.7058823529411766
11171968RAI,349.05882352941177,2.588235294117647
11241968SDG,359.05882352941177,2.411764705882353
1211968NYJ,360.2352941176471,2.235294117647059
1281968NYJ,359.11764705882354,2.176470588235294
12151968MIA,359.2352941176471,2.0
12291968NYJ,372.9411764705882,1.9411764705882355
1121969CLT,365.47058823529403,1.8235294117647056
9141969BUF,359.2941176470588,2.0588235294117645
9211969DEN,357.7058823529412,2.117647058823529
9281969SDG,366.29411764705884,2.0588235294117645
1051969NWE,359.3529411764707,1.7647058823529411
10121969CIN,363.7058823529412,1.8823529411764703
10201969NYJ,362.9411764705882,1.7647058823529411
10261969NYJ,368.05882352941177,1.9411764705882355
1121969NYJ,365.6470588235293,1.8823529411764703
1191969NYJ,365.5882352941177,1.8823529411764703
11161969NYJ,371.4117647058823,2.117647058823529
11231969NYJ,366.4117647058823,2.117647058823529
11301969NYJ,350.4117647058823,2.176470588235294
1261969OTI,340.5882352941176,2.411764705882353
12141969MIA,333.35294117647067,2.411764705882353
12201969NYJ,326.76470588235287,2.4705882352941178
9211970CLE,329.9411764705883,2.588235294117647
9271970NWE,326.76470588235287,2.647058823529412
1041970BUF,327.5294117647058,2.411764705882353
10101970NYJ,321.2352941176472,2.411764705882353
10181970NYJ,320.29411764705884,2.647058823529412
10251970NYJ,309.11764705882354,2.7058823529411766
1111970NYJ,300.9411764705883,2.8235294117647056
1181970PIT,289.11764705882354,2.8235294117647056
11151970RAM,293.11764705882354,2.764705882352941
11221970NYJ,291.8235294117647,2.764705882352941
11291970NYJ,291.11764705882354,2.7058823529411766
1261970NYJ,282.11764705882354,2.5294117647058822
12131970MIA,275.41176470588243,2.647058823529412
12191970CLT,273.88235294117646,2.5294117647058822
9191971CLT,268.29411764705884,2.2941176470588243
9271971CRD,267.7647058823529,2.176470588235294
1031971MIA,266.9411764705883,2.0
10101971NWE,247.35294117647058,1.8823529411764703
10171971NYJ,250.17647058823533,1.7647058823529411
10241971NYJ,244.05882352941174,1.8235294117647056
10311971SDG,244.05882352941174,1.8823529411764703
1171971NYJ,229.17647058823533,1.5294117647058822
11141971NYJ,233.2352941176471,1.5882352941176472
11211971BUF,232.88235294117646,1.4117647058823528
11281971NYJ,241.52941176470588,1.4117647058823528
1241971DAL,227.5882352941176,1.6470588235294117
12121971NYJ,225.70588235294116,1.7647058823529411
12191971NYJ,232.35294117647058,1.8823529411764703
9171972BUF,234.4705882352941,1.8235294117647056
9241972CLT,255.5882352941176,1.7647058823529411
1011972OTI,266.52941176470586,2.0
1081972NYJ,275.4705882352941,2.0588235294117645
10151972NWE,284.70588235294116,2.117647058823529
10221972NYJ,292.11764705882354,2.2941176470588243
10291972NYJ,308.0588235294117,2.2941176470588243
1151972NYJ,301.64705882352933,2.5294117647058822
11121972NYJ,304.9411764705883,2.5294117647058822
11191972MIA,306.11764705882354,2.4705882352941178
11231972DET,320.76470588235287,2.5294117647058822
