,home_team,game_id,date,away_team,home_first_downs,home_total_yds,home_pass_yds,home_rush_yds,home_TO,away_first_downs,away_total_yds,away_pass_yds,away_rush_yds,away_TO
7135,RAM,9261999RAM,September 26,ATL,19.0,442.0,275.0,167.0,0.0,12.0,233.0,165.0,68.0,1.0
7140,CIN,1031999CIN,October 3,RAM,18.0,257.0,165.0,92.0,1.0,18.0,399.0,326.0,73.0,2.0
7163,RAM,10101999RAM,October 10,SFO,20.0,423.0,314.0,109.0,2.0,21.0,305.0,233.0,72.0,3.0
7167,ATL,10171999ATL,October 17,RAM,16.0,316.0,270.0,46.0,3.0,17.0,283.0,94.0,189.0,1.0
7191,RAM,10241999RAM,October 24,CLE,27.0,436.0,225.0,211.0,0.0,13.0,272.0,178.0,94.0,3.0
7205,OTI,10311999OTI,October 31,RAM,17.0,281.0,178.0,103.0,0.0,23.0,415.0,287.0,128.0,3.0
7211,DET,1171999DET,November 7,RAM,17.0,332.0,311.0,21.0,0.0,20.0,332.0,275.0,57.0,2.0
7234,RAM,11141999RAM,November 14,CAR,16.0,363.0,284.0,79.0,2.0,18.0,377.0,260.0,117.0,3.0
7247,SFO,11211999SFO,November 21,RAM,14.0,251.0,145.0,106.0,5.0,21.0,345.0,181.0,164.0,1.0
7264,RAM,11281999RAM,November 28,NOR,24.0,324.0,195.0,129.0,0.0,20.0,365.0,263.0,102.0,2.0
7271,CAR,1251999CAR,December 5,RAM,14.0,307.0,252.0,55.0,3.0,22.0,480.0,358.0,122.0,3.0
7289,NOR,12121999NOR,December 12,RAM,13.0,210.0,144.0,66.0,3.0,23.0,492.0,336.0,156.0,2.0
7309,RAM,12191999RAM,December 19,NYG,19.0,419.0,319.0,100.0,1.0,20.0,328.0,261.0,67.0,2.0
7323,RAM,12261999RAM,December 26,CHI,23.0,476.0,361.0,115.0,2.0,24.0,434.0,365.0,69.0,3.0
7338,PHI,122000PHI,January 2,RAM,13.0,207.0,156.0,51.0,2.0,20.0,440.0,239.0,201.0,7.0
7349,RAM,1162000RAM,January 16,MIN,23.0,405.0,374.0,31.0,3.0,27.0,475.0,388.0,87.0,3.0
7351,RAM,1232000RAM,January 23,TAM,17.0,309.0,258.0,51.0,3.0,12.0,203.0,126.0,77.0,2.0
7352,RAM,1302000RAM,January 30,OTI,23.0,436.0,407.0,29.0,0.0,27.0,367.0,208.0,159.0,0.0
7367,RAM,942000RAM,September 4,DEN,23.0,513.0,433.0,80.0,3.0,25.0,424.0,274.0,150.0,0.0
7379,SEA,9102000SEA,September 10,RAM,24.0,338.0,237.0,101.0,3.0,28.0,476.0,379.0,97.0,1.0
7395,RAM,9172000RAM,September 17,SFO,32.0,529.0,389.0,140.0,2.0,16.0,401.0,290.0,111.0,2.0
7398,ATL,9242000ATL,September 24,RAM,18.0,286.0,218.0,68.0,4.0,14.0,395.0,321.0,74.0,2.0
7421,RAM,1012000RAM,October 1,SDG,29.0,614.0,451.0,163.0,0.0,23.0,381.0,333.0,48.0,2.0
7450,RAM,10152000RAM,October 15,ATL,29.0,529.0,302.0,227.0,1.0,21.0,259.0,198.0,61.0,1.0
7461,KAN,10222000KAN,October 22,RAM,21.0,468.0,362.0,106.0,0.0,24.0,428.0,362.0,66.0,4.0
7477,SFO,10292000SFO,October 29,RAM,15.0,325.0,233.0,92.0,0.0,22.0,447.0,298.0,149.0,1.0
7493,RAM,1152000RAM,November 5,CAR,20.0,426.0,395.0,31.0,2.0,18.0,268.0,178.0,90.0,2.0
7504,NYG,11122000NYG,November 12,RAM,14.0,348.0,213.0,135.0,3.0,28.0,397.0,256.0,141.0,1.0
7525,RAM,11202000RAM,November 20,WAS,18.0,394.0,344.0,50.0,3.0,21.0,400.0,262.0,138.0,1.0
7537,RAM,11262000RAM,November 26,NOR,21.0,279.0,251.0,28.0,4.0,23.0,332.0,185.0,147.0,2.0
7544,CAR,1232000CAR,December 3,RAM,20.0,237.0,169.0,68.0,2.0,15.0,278.0,179.0,99.0,7.0
7568,RAM,12102000RAM,December 10,MIN,32.0,508.0,346.0,162.0,0.0,23.0,312.0,208.0,104.0,0.0
7585,TAM,12182000TAM,December 18,RAM,27.0,446.0,241.0,205.0,2.0,19.0,388.0,298.0,90.0,3.0
7595,NOR,12242000NOR,December 24,RAM,12.0,269.0,196.0,73.0,1.0,26.0,474.0,228.0,246.0,1.0
7602,NOR,12302000NOR,December 30,RAM,17.0,301.0,251.0,50.0,2.0,17.0,384.0,350.0,34.0,5.0
7622,PHI,992001PHI,September 9,RAM,19.0,334.0,277.0,57.0,3.0,22.0,364.0,282.0,82.0,2.0
7638,SFO,9232001SFO,September 23,RAM,14.0,232.0,116.0,116.0,1.0,20.0,425.0,310.0,115.0,3.0
7652,RAM,9302001RAM,September 30,MIA,27.0,441.0,318.0,123.0,0.0,15.0,253.0,189.0,64.0,4.0
7669,DET,1082001DET,October 8,RAM,14.0,334.0,229.0,105.0,3.0,23.0,378.0,284.0,94.0,1.0
7681,RAM,10142001RAM,October 14,NYG,19.0,315.0,274.0,41.0,4.0,16.0,324.0,227.0,97.0,2.0
7692,NYJ,10212001NYJ,October 21,RAM,17.0,266.0,134.0,132.0,1.0,22.0,448.0,214.0,234.0,2.0
7707,RAM,10282001RAM,October 28,NOR,25.0,474.0,426.0,48.0,8.0,15.0,320.0,238.0,82.0,2.0
7738,RAM,11112001RAM,November 11,CAR,20.0,493.0,156.0,337.0,4.0,8.0,146.0,115.0,31.0,3.0
7749,NWE,11182001NWE,November 18,RAM,13.0,230.0,179.0,51.0,3.0,26.0,482.0,396.0,86.0,3.0
7769,RAM,11262001RAM,November 26,TAM,19.0,345.0,269.0,76.0,6.0,18.0,264.0,173.0,91.0,1.0
7771,ATL,1222001ATL,December 2,RAM,20.0,320.0,192.0,128.0,2.0,19.0,422.0,333.0,89.0,0.0
7797,RAM,1292001RAM,December 9,SFO,23.0,385.0,270.0,115.0,2.0,16.0,220.0,144.0,76.0,2.0
