,home_team,game_id,date,away_team,home_first_downs,home_total_yds,home_pass_yds,home_rush_yds,home_TO,away_first_downs,away_total_yds,away_pass_yds,away_rush_yds,away_TO
12603,CRD,1282019CRD,December 8,PIT,17.0,236.0,165.0,71.0,3.0,20.0,275.0,135.0,140.0,2.0
12619,CRD,12152019CRD,December 15,CLE,26.0,445.0,219.0,226.0,1.0,25.0,393.0,241.0,152.0,2.0
12646,SEA,12222019SEA,December 22,CRD,13.0,224.0,133.0,91.0,1.0,21.0,412.0,159.0,253.0,0.0
12660,RAM,12292019RAM,December 29,CRD,25.0,424.0,311.0,113.0,0.0,22.0,393.0,322.0,71.0,5.0
12689,SFO,9132020SFO,September 13,CRD,18.0,366.0,243.0,123.0,0.0,29.0,404.0,224.0,180.0,1.0
12694,CRD,9202020CRD,September 20,WAS,22.0,438.0,278.0,160.0,1.0,19.0,316.0,199.0,117.0,2.0
12710,CRD,9272020CRD,September 27,DET,28.0,377.0,268.0,109.0,3.0,22.0,322.0,232.0,90.0,0.0
12726,CAR,1042020CAR,October 4,CRD,30.0,444.0,276.0,168.0,1.0,21.0,262.0,133.0,129.0,1.0
12747,NYJ,10112020NYJ,October 11,CRD,21.0,285.0,162.0,123.0,0.0,28.0,496.0,369.0,127.0,1.0
12767,DAL,10192020DAL,October 19,CRD,27.0,344.0,247.0,97.0,4.0,22.0,438.0,177.0,261.0,0.0
12769,CRD,10252020CRD,October 25,SEA,31.0,519.0,360.0,159.0,2.0,33.0,572.0,372.0,200.0,3.0
12797,CRD,1182020CRD,November 8,MIA,26.0,442.0,264.0,178.0,1.0,24.0,312.0,221.0,91.0,0.0
12811,CRD,11152020CRD,November 15,BUF,26.0,453.0,236.0,217.0,2.0,22.0,369.0,296.0,73.0,2.0
12824,SEA,11192020SEA,November 19,CRD,22.0,347.0,182.0,165.0,0.0,24.0,314.0,257.0,57.0,0.0
12849,NWE,11292020NWE,November 29,CRD,16.0,179.0,69.0,110.0,2.0,23.0,298.0,160.0,138.0,1.0
12854,CRD,1262020CRD,December 6,RAM,18.0,232.0,140.0,92.0,2.0,30.0,463.0,344.0,119.0,1.0
12879,NYG,12132020NYG,December 13,CRD,10.0,159.0,81.0,78.0,3.0,22.0,390.0,231.0,159.0,0.0
12888,CRD,12202020CRD,December 20,PHI,26.0,526.0,423.0,103.0,3.0,26.0,422.0,305.0,117.0,0.0
12902,CRD,12262020CRD,December 26,SFO,20.0,350.0,230.0,120.0,2.0,22.0,398.0,171.0,227.0,1.0
12927,RAM,132021RAM,January 3,CRD,21.0,333.0,223.0,110.0,2.0,15.0,214.0,166.0,48.0,1.0
