game_id,date,team_id,first_downs,total_yds,pass_yds,rush_yds,TO,opp_team_id,opp_first_downs,opp_total_yds,opp_pass_yds,opp_rush_yds,opp_TO
1121969NYJ,November 2,NYJ,15.0,315.0,221.0,94.0,2.0,MIA,23.0,421.0,218.0,203.0,4.0
1191969NYJ,November 9,NYJ,16.0,273.0,169.0,104.0,1.0,BUF,13.0,297.0,191.0,106.0,2.0
11161969NYJ,November 16,NYJ,22.0,410.0,333.0,77.0,5.0,KAN,23.0,424.0,285.0,139.0,1.0
11231969NYJ,November 23,NYJ,20.0,328.0,213.0,115.0,1.0,CIN,9.0,158.0,108.0,50.0,3.0
11301969NYJ,November 30,NYJ,13.0,238.0,139.0,99.0,2.0,RAI,18.0,404.0,322.0,82.0,1.0
1261969OTI,December 6,NYJ,12.0,213.0,81.0,132.0,4.0,OTI,18.0,220.0,160.0,60.0,9.0
12141969MIA,December 14,NYJ,13.0,248.0,191.0,57.0,2.0,MIA,16.0,218.0,168.0,50.0,4.0
12201969NYJ,December 20,NYJ,19.0,235.0,148.0,87.0,4.0,KAN,14.0,276.0,177.0,99.0,0.0
9211970CLE,September 21,NYJ,31.0,454.0,286.0,168.0,4.0,CLE,20.0,221.0,145.0,76.0,0.0
9271970NWE,September 27,NYJ,18.0,283.0,96.0,187.0,2.0,NWE,12.0,209.0,139.0,70.0,3.0
1041970BUF,October 4,NYJ,11.0,337.0,228.0,109.0,0.0,BUF,20.0,401.0,252.0,149.0,5.0
10101970NYJ,October 10,NYJ,14.0,263.0,224.0,39.0,3.0,MIA,20.0,312.0,195.0,117.0,1.0
10181970NYJ,October 18,NYJ,22.0,398.0,361.0,37.0,6.0,CLT,14.0,254.0,176.0,78.0,4.0
10251970NYJ,October 25,NYJ,10.0,119.0,33.0,86.0,2.0,BUF,15.0,193.0,104.0,89.0,2.0
1111970NYJ,November 1,NYJ,16.0,237.0,135.0,102.0,4.0,NYG,15.0,240.0,140.0,100.0,0.0
1181970PIT,November 8,NYJ,20.0,246.0,142.0,104.0,3.0,PIT,14.0,277.0,123.0,154.0,2.0
11151970RAM,November 15,NYJ,15.0,386.0,233.0,153.0,2.0,RAM,12.0,325.0,274.0,51.0,4.0
11221970NYJ,November 22,NYJ,19.0,293.0,141.0,152.0,2.0,NWE,5.0,80.0,57.0,23.0,1.0
11291970NYJ,November 29,NYJ,15.0,261.0,74.0,187.0,0.0,MIN,11.0,167.0,108.0,59.0,4.0
1261970NYJ,December 6,NYJ,12.0,257.0,99.0,158.0,2.0,RAI,16.0,250.0,179.0,71.0,3.0
12131970MIA,December 13,NYJ,14.0,214.0,86.0,128.0,3.0,MIA,19.0,269.0,125.0,144.0,3.0
12191970CLT,December 19,NYJ,13.0,212.0,169.0,43.0,0.0,CLT,23.0,457.0,355.0,102.0,2.0
9191971CLT,September 19,NYJ,7.0,118.0,75.0,43.0,0.0,CLT,16.0,319.0,66.0,253.0,1.0
9271971CRD,September 27,NYJ,18.0,239.0,121.0,118.0,0.0,CRD,15.0,340.0,222.0,118.0,1.0
1031971MIA,October 3,NYJ,13.0,221.0,87.0,134.0,1.0,MIA,14.0,297.0,134.0,163.0,3.0
10101971NWE,October 10,NYJ,11.0,121.0,8.0,113.0,2.0,NWE,15.0,337.0,130.0,207.0,2.0
10171971NYJ,October 17,NYJ,20.0,331.0,140.0,191.0,0.0,BUF,14.0,271.0,188.0,83.0,2.0
10241971NYJ,October 24,NYJ,16.0,233.0,101.0,132.0,1.0,MIA,19.0,361.0,59.0,302.0,0.0
10311971SDG,October 31,NYJ,19.0,263.0,94.0,169.0,4.0,SDG,20.0,523.0,358.0,165.0,2.0
1171971NYJ,November 7,NYJ,11.0,145.0,9.0,136.0,0.0,KAN,10.0,190.0,95.0,95.0,3.0
11141971NYJ,November 14,NYJ,9.0,188.0,113.0,75.0,3.0,CLT,15.0,189.0,70.0,119.0,3.0
11211971BUF,November 21,NYJ,10.0,231.0,78.0,153.0,1.0,BUF,12.0,197.0,119.0,78.0,6.0
11281971NYJ,November 28,NYJ,21.0,393.0,275.0,118.0,3.0,SFO,20.0,351.0,88.0,263.0,1.0
1241971DAL,December 4,NYJ,12.0,149.0,19.0,130.0,6.0,DAL,26.0,439.0,221.0,218.0,1.0
12121971NYJ,December 12,NYJ,17.0,261.0,95.0,166.0,4.0,NWE,16.0,250.0,150.0,100.0,2.0
12191971NYJ,December 19,NYJ,18.0,374.0,164.0,210.0,2.0,CIN,23.0,293.0,155.0,138.0,0.0
9171972BUF,September 17,NYJ,19.0,293.0,102.0,191.0,1.0,BUF,16.0,287.0,207.0,80.0,4.0
9241972CLT,September 24,NYJ,19.0,573.0,490.0,83.0,2.0,CLT,28.0,412.0,332.0,80.0,2.0
1011972OTI,October 1,NYJ,19.0,398.0,301.0,97.0,4.0,OTI,19.0,412.0,262.0,150.0,1.0
1081972NYJ,October 8,NYJ,16.0,270.0,147.0,123.0,1.0,MIA,23.0,394.0,220.0,174.0,1.0
10151972NWE,October 15,NYJ,24.0,396.0,63.0,333.0,1.0,NWE,18.0,311.0,175.0,136.0,2.0
10221972NYJ,October 22,NYJ,10.0,347.0,228.0,119.0,4.0,CLT,23.0,406.0,227.0,179.0,2.0
10291972NYJ,October 29,NYJ,21.0,392.0,201.0,191.0,2.0,NWE,14.0,194.0,128.0,66.0,3.0
1151972NYJ,November 5,NYJ,19.0,222.0,116.0,106.0,4.0,WAS,7.0,311.0,222.0,89.0,2.0
11121972NYJ,November 12,NYJ,17.0,289.0,141.0,148.0,1.0,BUF,11.0,210.0,67.0,143.0,4.0
11191972MIA,November 19,NYJ,14.0,283.0,175.0,108.0,3.0,MIA,20.0,346.0,132.0,214.0,3.0
11231972DET,November 23,NYJ,19.0,394.0,165.0,229.0,1.0,DET,19.0,385.0,125.0,260.0,0.0
1231972NYJ,December 3,NYJ,18.0,323.0,259.0,64.0,2.0,NOR,22.0,333.0,194.0,139.0,1.0
12111972RAI,December 11,NYJ,20.0,401.0,365.0,36.0,2.0,RAI,19.0,366.0,197.0,169.0,3.0
12171972NYJ,December 17,NYJ,15.0,206.0,24.0,182.0,3.0,CLE,16.0,342.0,149.0,193.0,3.0
9171973GNB,September 17,NYJ,16.0,269.0,200.0,69.0,3.0,GNB,14.0,253.0,98.0,155.0,0.0
