schedule_date,schedule_season,home_id,away_id,score_home,score_away,total_score,over_under_line,label
10/21/1979,1979,DAL,CRD,22,13,35,39,under
10/21/1979,1979,KAN,NYG,17,21,38,36,over
10/21/1979,1979,RAM,SDG,16,40,56,37,over
10/21/1979,1979,MIN,CHI,30,27,57,36,over
10/21/1979,1979,NWE,MIA,28,13,41,38,over
10/21/1979,1979,NOR,DET,17,7,24,42,under
10/21/1979,1979,NYJ,RAI,28,19,47,42,over
10/21/1979,1979,SFO,ATL,20,15,35,42,under
10/21/1979,1979,SEA,OTI,34,14,48,42,over
10/21/1979,1979,TAM,GNB,21,3,24,37,under
10/21/1979,1979,WAS,PHI,17,7,24,38,under
10/22/1979,1979,PIT,DEN,42,7,49,37,over
10/25/1979,1979,RAI,SDG,45,22,67,41,over
10/28/1979,1979,CLT,NWE,31,26,57,37,over
10/28/1979,1979,CIN,PHI,37,13,50,38,over
10/28/1979,1979,DEN,KAN,20,3,23,34,under
10/28/1979,1979,DET,BUF,17,20,37,38,under
10/28/1979,1979,OTI,NYJ,27,24,51,42,over
10/28/1979,1979,RAM,NYG,14,20,34,37,under
10/28/1979,1979,MIA,GNB,27,7,34,36,under
10/28/1979,1979,MIN,TAM,10,12,22,37,under
10/28/1979,1979,PIT,DAL,14,3,17,39,under
10/28/1979,1979,SFO,CHI,27,28,55,39,over
10/28/1979,1979,CRD,CLE,20,38,58,42,over
10/28/1979,1979,WAS,NOR,10,14,24,40,under
10/29/1979,1979,ATL,SEA,28,31,59,42,over
11/4/1979,1979,ATL,TAM,17,14,31,37,under
11/4/1979,1979,CLT,CIN,38,28,66,42,over
11/4/1979,1979,BUF,NWE,6,26,32,41,under
11/4/1979,1979,CHI,DET,35,7,42,35,over
11/4/1979,1979,DEN,NOR,10,3,13,37,under
11/4/1979,1979,GNB,NYJ,22,27,49,39,over
11/4/1979,1979,KAN,SDG,14,20,34,37,under
11/4/1979,1979,NYG,DAL,14,16,30,38,under
11/4/1979,1979,RAI,SFO,23,10,33,44,under
11/4/1979,1979,PHI,CLE,19,24,43,41,over
11/4/1979,1979,PIT,WAS,38,7,45,37,over
11/4/1979,1979,SEA,RAM,0,24,24,41,under
11/4/1979,1979,CRD,MIN,37,7,44,39,over
11/5/1979,1979,MIA,OTI,6,9,15,39,under
11/11/1979,1979,CHI,RAM,27,23,50,34,over
11/11/1979,1979,CIN,SDG,24,26,50,43,over
11/11/1979,1979,CLE,SEA,24,29,53,43,over
11/11/1979,1979,DEN,NWE,45,10,55,34,over
11/11/1979,1979,DET,TAM,14,16,30,35,under
11/11/1979,1979,GNB,MIN,19,7,26,37,under
11/11/1979,1979,OTI,RAI,31,17,48,40,over
11/11/1979,1979,KAN,PIT,3,30,33,38,under
11/11/1979,1979,MIA,CLT,19,0,19,38,under
11/11/1979,1979,NOR,SFO,31,20,51,42,over
11/11/1979,1979,NYG,ATL,24,3,27,36,under
11/11/1979,1979,NYJ,BUF,12,14,26,42,under
11/11/1979,1979,WAS,CRD,30,28,58,39,over
11/12/1979,1979,DAL,PHI,21,31,52,38,over
11/18/1979,1979,BUF,GNB,19,12,31,37,under
11/18/1979,1979,CHI,NYJ,23,13,36,39,under
11/18/1979,1979,CLE,MIA,30,24,54,40,over
11/18/1979,1979,OTI,CIN,42,21,63,43,over
11/18/1979,1979,MIN,DET,14,7,21,37,under
11/18/1979,1979,NWE,CLT,50,21,71,40,over
11/18/1979,1979,RAI,KAN,21,24,45,38,over
11/18/1979,1979,PHI,CRD,16,13,29,39,under
11/18/1979,1979,SDG,PIT,35,7,42,39,over
11/18/1979,1979,SFO,DEN,28,38,66,39,over
11/18/1979,1979,SEA,NOR,38,24,62,42,over
11/18/1979,1979,TAM,NYG,31,3,34,34,under
11/18/1979,1979,WAS,DAL,34,20,54,37,over
11/19/1979,1979,RAM,ATL,20,14,34,35,under
11/22/1979,1979,DAL,OTI,24,30,54,41,over
11/22/1979,1979,DET,CHI,20,0,20,36,under
11/25/1979,1979,ATL,NOR,6,37,43,43,under
11/25/1979,1979,CLT,MIA,24,28,52,37,over
11/25/1979,1979,CIN,CRD,34,28,62,42,over
11/25/1979,1979,DEN,RAI,10,14,24,37,under
11/25/1979,1979,GNB,PHI,10,21,31,36,under
11/25/1979,1979,NWE,BUF,13,16,29,41,under
11/25/1979,1979,NYG,WAS,14,6,20,36,under
11/25/1979,1979,PIT,CLE,33,30,63,42,over
11/25/1979,1979,SDG,KAN,28,7,35,38,under
11/25/1979,1979,SFO,RAM,20,26,46,39,over
11/25/1979,1979,TAM,MIN,22,23,45,36,over
11/26/1979,1979,SEA,NYJ,30,7,37,45,under
11/29/1979,1979,MIA,NWE,39,24,63,38,over
12/2/1979,1979,BUF,DEN,16,19,35,36,under
12/2/1979,1979,CLE,OTI,14,7,21,44,under
12/2/1979,1979,DAL,NYG,28,7,35,38,under
12/2/1979,1979,KAN,SEA,37,21,58,41,over
12/2/1979,1979,RAM,MIN,27,21,48,38,over
12/2/1979,1979,NYJ,CLT,30,17,47,38,over
12/2/1979,1979,PHI,DET,44,7,51,37,over
12/2/1979,1979,PIT,CIN,37,17,54,44,over
12/2/1979,1979,SDG,ATL,26,28,54,42,over
12/2/1979,1979,CRD,SFO,13,10,23,43,under
12/2/1979,1979,TAM,CHI,0,14,14,36,under
12/2/1979,1979,WAS,GNB,38,21,59,34,over
12/3/1979,1979,NOR,RAI,35,42,77,43,over
12/8/1979,1979,PHI,DAL,17,24,41,40,over
12/8/1979,1979,SEA,DEN,28,23,51,39,over
12/9/1979,1979,ATL,RAM,13,34,47,39,over
12/9/1979,1979,CLT,KAN,7,10,17,36,under
12/9/1979,1979,DET,MIA,10,28,38,36,over
12/9/1979,1979,GNB,CHI,14,15,29,36,under
12/9/1979,1979,MIN,BUF,10,3,13,36,under
12/9/1979,1979,NOR,SDG,0,35,35,45,under
12/9/1979,1979,NYJ,NWE,27,26,53,44,over
12/9/1979,1979,RAI,CLE,19,14,33,44.5,under
12/9/1979,1979,SFO,TAM,23,7,30,38,under
12/9/1979,1979,CRD,NYG,29,20,49,36,over
12/9/1979,1979,WAS,CIN,28,14,42,42,under
12/10/1979,1979,OTI,PIT,20,17,37,42.5,under
12/15/1979,1979,DET,GNB,13,18,31,34,under
12/15/1979,1979,MIA,NYJ,24,27,51,45,over
12/16/1979,1979,ATL,SFO,31,21,52,45,over
12/16/1979,1979,CHI,CRD,42,6,48,37,over
12/16/1979,1979,CIN,CLE,16,12,28,41,under
12/16/1979,1979,DAL,WAS,35,34,69,39.5,over
12/16/1979,1979,OTI,PHI,20,26,46,39,over
12/16/1979,1979,RAM,NOR,14,29,43,42,over
12/16/1979,1979,NWE,MIN,27,23,50,40,over
12/16/1979,1979,NYG,CLT,7,31,38,37,over
12/16/1979,1979,RAI,SEA,24,29,53,45,over
12/16/1979,1979,PIT,BUF,28,0,28,39,under
12/16/1979,1979,TAM,KAN,3,0,3,33,under
12/17/1979,1979,SDG,DEN,17,7,24,38,under
1/20/1980,1979,RAM,PIT,19,31,50,36,over
9/7/1980,1980,BUF,MIA,17,7,24,35,under
9/7/1980,1980,CIN,TAM,12,17,29,34,under
9/7/1980,1980,GNB,CHI,12,6,18,35,under
9/7/1980,1980,KAN,RAI,14,27,41,42,under
9/7/1980,1980,RAM,DET,20,41,61,38,over
9/7/1980,1980,MIN,ATL,24,23,47,42,over
9/7/1980,1980,NWE,CLE,34,17,51,38,over
9/7/1980,1980,NOR,SFO,23,26,49,45,over
9/7/1980,1980,NYJ,CLT,14,17,31,41,under
9/7/1980,1980,PHI,DEN,27,6,33,38,under
9/7/1980,1980,PIT,OTI,31,17,48,40,over
9/7/1980,1980,SEA,SDG,13,34,47,45,over
9/7/1980,1980,CRD,NYG,35,41,76,42,over
9/8/1980,1980,WAS,DAL,3,17,20,45,under
9/11/1980,1980,TAM,RAM,10,9,19,40,under
9/14/1980,1980,CLT,PIT,17,20,37,40,under
9/14/1980,1980,BUF,NYJ,20,10,30,34,under
9/14/1980,1980,CHI,NOR,22,3,25,37,under
9/14/1980,1980,DEN,DAL,41,20,61,40,over
9/14/1980,1980,GNB,DET,7,29,36,38,under
9/14/1980,1980,KAN,SEA,16,17,33,38,under
9/14/1980,1980,MIA,CIN,17,16,33,35,under
9/14/1980,1980,MIN,PHI,7,42,49,40,over
9/14/1980,1980,NWE,ATL,21,37,58,49,over
9/14/1980,1980,NYG,WAS,21,23,44,38,over
9/14/1980,1980,SDG,RAI,30,24,54,44,over
9/14/1980,1980,SFO,CRD,24,21,45,42,over
9/15/1980,1980,CLE,OTI,7,16,23,44,under
9/21/1980,1980,ATL,MIA,17,20,37,40,under
9/21/1980,1980,CHI,MIN,14,34,48,39,over
9/21/1980,1980,CIN,PIT,30,28,58,39,over
9/21/1980,1980,CLE,KAN,20,13,33,38,under
9/21/1980,1980,DAL,TAM,28,17,45,36,over
9/21/1980,1980,DEN,SDG,13,30,43,47,under
9/21/1980,1980,DET,CRD,20,7,27,42,under
9/21/1980,1980,OTI,CLT,21,16,37,35,over
9/21/1980,1980,RAM,GNB,51,21,72,38,over
9/21/1980,1980,NOR,BUF,26,35,61,40,over
9/21/1980,1980,NYJ,SFO,27,37,64,39,over
9/21/1980,1980,RAI,WAS,24,21,45,40,over
9/21/1980,1980,SEA,NWE,31,37,68,47,over
9/22/1980,1980,PHI,NYG,35,3,38,40,under
9/28/1980,1980,CLT,NYJ,35,21,56,38,over
9/28/1980,1980,BUF,RAI,24,7,31,42,under
9/28/1980,1980,CIN,OTI,10,13,23,36,under
9/28/1980,1980,DET,MIN,27,7,34,43,under
9/28/1980,1980,GNB,DAL,7,28,35,42,under
9/28/1980,1980,KAN,SDG,7,24,31,42,under
9/28/1980,1980,MIA,NOR,21,16,37,39,under
9/28/1980,1980,NYG,RAM,7,28,35,42,under
9/28/1980,1980,PIT,CHI,38,3,41,39,over
9/28/1980,1980,SFO,ATL,17,20,37,50,under
9/28/1980,1980,CRD,PHI,24,14,38,44,under
9/28/1980,1980,TAM,CLE,27,34,61,35,over
9/28/1980,1980,WAS,SEA,0,14,14,42,under
9/29/1980,1980,NWE,DEN,23,14,37,48,under
10/5/1980,1980,ATL,DET,43,28,71,42,over
10/5/1980,1980,CLE,DEN,16,19,35,42,under
10/5/1980,1980,DAL,NYG,24,3,27,42,under
10/5/1980,1980,GNB,CIN,14,9,23,38,under
10/5/1980,1980,OTI,SEA,7,26,33,37,under
10/5/1980,1980,RAM,SFO,48,26,74,48,over
10/5/1980,1980,MIA,CLT,17,30,47,36,over
10/5/1980,1980,MIN,PIT,17,23,40,46,under
10/5/1980,1980,NOR,CRD,7,40,47,45,over
10/5/1980,1980,NYJ,NWE,11,21,32,49,under
10/5/1980,1980,RAI,KAN,17,31,48,39,over
10/5/1980,1980,PHI,WAS,24,14,38,35,over
10/5/1980,1980,SDG,BUF,24,26,50,44,over
10/6/1980,1980,CHI,TAM,23,0,23,35,under
10/12/1980,1980,ATL,NYJ,7,14,21,46,under
10/12/1980,1980,BUF,CLT,12,17,29,40,under
10/12/1980,1980,DAL,SFO,59,14,73,48,over
10/12/1980,1980,DET,NOR,24,13,37,45,under
10/12/1980,1980,KAN,OTI,21,20,41,36,over
10/12/1980,1980,MIN,CHI,13,7,20,38,under
10/12/1980,1980,NWE,MIA,34,0,34,43,under
10/12/1980,1980,NYG,PHI,16,31,47,41,over
10/12/1980,1980,RAI,SDG,38,24,62,45,over
