game_id,date,team_id,opp_team_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO,avg_opp_first_downs,avg_opp_total_yds,avg_opp_pass_yds,avg_opp_rush_yds,avg_opp_TO
9111966DET,September 11,CHI,DET,,,,,,,,,,
9161966RAM,September 16,CHI,RAM,,,,,,,,,,
1021966MIN,October 2,CHI,MIN,,,,,,,,,,
1091966CHI,October 9,CHI,CLT,,,,,,,,,,
10161966CHI,October 16,CHI,GNB,,,,,,,,,,
10231966CHI,October 23,CHI,RAM,,,,,,,,,,
10311966CRD,October 31,CHI,CRD,,,,,,,,,,
1161966CHI,November 6,CHI,DET,,,,,,,,,,
11131966CHI,November 13,CHI,SFO,,,,,,,,,,
11201966GNB,November 20,CHI,GNB,,,,,,,,,,
11271966CHI,November 27,CHI,ATL,,,,,,,,,,
1241966CLT,December 4,CHI,CLT,,,,,,,,,,
12111966SFO,December 11,CHI,SFO,,,,,,,,,,
12181966CHI,December 18,CHI,MIN,,,,,,,,,,
9171967PIT,September 17,CHI,PIT,,,,,,,,,,
9241967GNB,September 24,CHI,GNB,,,,,,,,,,
1011967MIN,October 1,CHI,MIN,13.235294117647058,245.52941176470588,111.58823529411765,133.94117647058823,2.4705882352941178,17.529411764705884,289.94117647058823,166.7058823529412,123.23529411764706,2.9411764705882355
1081967CHI,October 8,CHI,CLT,13.117647058823529,246.47058823529412,117.0,129.47058823529412,2.588235294117647,17.58823529411765,290.5882352941176,170.47058823529412,120.11764705882354,3.0
10151967CHI,October 15,CHI,DET,13.235294117647058,248.0,111.70588235294117,136.2941176470588,2.588235294117647,17.11764705882353,283.1764705882353,166.41176470588235,116.76470588235294,2.9411764705882355
10221967CLE,October 22,CHI,CLE,13.117647058823529,239.35294117647058,108.0,131.35294117647058,2.588235294117647,17.529411764705884,286.88235294117646,165.76470588235293,121.11764705882354,2.823529411764706
10291967CHI,October 29,CHI,RAM,12.647058823529411,231.41176470588235,107.52941176470588,123.88235294117646,2.764705882352941,17.58823529411765,283.6470588235294,159.1764705882353,124.47058823529412,2.764705882352941
1151967DET,November 5,CHI,DET,12.823529411764707,236.47058823529412,108.0,128.47058823529412,2.6470588235294117,17.58823529411765,283.29411764705884,160.58823529411765,122.70588235294117,2.8823529411764706
11121967CHI,November 12,CHI,NYG,12.882352941176471,235.11764705882354,106.94117647058823,128.1764705882353,2.588235294117647,17.58823529411765,280.8235294117647,159.58823529411765,121.23529411764706,3.0
11191967CHI,November 19,CHI,CRD,12.705882352941176,245.64705882352942,115.58823529411765,130.05882352941177,2.5294117647058822,17.823529411764707,284.5882352941176,165.88235294117646,118.70588235294117,3.3529411764705883
11261967CHI,November 26,CHI,GNB,12.647058823529411,243.7058823529412,112.6470588235294,131.05882352941177,2.7058823529411766,17.705882352941178,284.0,166.2941176470588,117.70588235294117,3.2941176470588234
1231967SFO,December 3,CHI,SFO,12.823529411764707,243.7058823529412,111.88235294117646,131.8235294117647,2.764705882352941,16.58823529411765,272.4117647058824,157.11764705882354,115.29411764705883,3.235294117647059
12101967CHI,December 10,CHI,MIN,13.235294117647058,251.8235294117647,113.23529411764706,138.58823529411765,2.5294117647058822,16.352941176470587,267.47058823529414,150.05882352941177,117.41176470588235,3.176470588235294
12171967ATL,December 17,CHI,ATL,12.705882352941176,241.05882352941177,109.58823529411765,131.47058823529412,2.2941176470588234,16.764705882352942,266.88235294117646,148.8235294117647,118.05882352941177,3.0588235294117645
9151968CHI,September 15,CHI,WAS,12.705882352941176,242.23529411764707,104.05882352941177,138.1764705882353,2.2941176470588234,16.88235294117647,271.4117647058824,155.58823529411765,115.82352941176471,3.0
9221968DET,September 22,CHI,DET,12.823529411764707,244.47058823529412,106.52941176470588,137.94117647058823,2.6470588235294117,16.705882352941178,274.7647058823529,157.52941176470588,117.23529411764706,3.0
9291968MIN,September 29,CHI,MIN,13.176470588235293,246.1764705882353,107.58823529411765,138.58823529411765,2.764705882352941,16.0,264.11764705882354,150.23529411764707,113.88235294117646,2.9411764705882355
1061968CLT,October 6,CHI,CLT,13.235294117647058,253.8235294117647,107.6470588235294,146.1764705882353,2.4705882352941178,15.941176470588236,268.05882352941177,156.58823529411765,111.47058823529412,3.0
10131968CHI,October 13,CHI,DET,13.588235294117647,258.6470588235294,113.05882352941177,145.58823529411765,2.5294117647058822,15.941176470588236,270.4117647058824,158.2941176470588,112.11764705882354,2.588235294117647
10201968PHI,October 20,CHI,PHI,13.529411764705882,260.8235294117647,117.0,143.8235294117647,2.588235294117647,15.941176470588236,269.8235294117647,156.1764705882353,113.6470588235294,2.6470588235294117
10271968CHI,October 27,CHI,MIN,13.823529411764707,269.4117647058824,115.23529411764706,154.1764705882353,2.3529411764705883,16.058823529411764,273.05882352941177,157.8235294117647,115.23529411764706,2.4705882352941178
