schedule_date,schedule_season,home_id,away_id,weather_temperature,weather_wind_mph,score_home,score_away,total_score,over_under_line,label
10/7/1979,1979,CLE,PIT,48.0,17.0,35,51,86,36,over
10/7/1979,1979,DEN,SDG,67.0,11.0,7,0,7,37,under
10/7/1979,1979,OTI,CRD,72.0,0.0,17,24,41,39,over
10/7/1979,1979,MIN,DAL,43.0,5.0,20,36,56,39,over
10/7/1979,1979,NWE,DET,56.0,13.0,24,17,41,40,over
10/7/1979,1979,NOR,RAM,72.0,0.0,17,35,52,39,over
10/7/1979,1979,NYG,TAM,60.0,16.0,17,14,31,34,under
10/7/1979,1979,PHI,WAS,57.0,14.0,28,17,45,37,over
10/7/1979,1979,SFO,SEA,61.0,14.0,24,35,59,43,over
10/8/1979,1979,RAI,MIA,63.0,12.0,13,3,16,39,under
10/14/1979,1979,CLT,OTI,46.0,13.0,16,28,44,36,over
10/14/1979,1979,CHI,NWE,45.0,9.0,7,27,34,37,under
10/14/1979,1979,CIN,PIT,40.0,7.0,34,10,44,39,over
10/14/1979,1979,CLE,WAS,44.0,12.0,9,13,22,34,under
10/14/1979,1979,DAL,RAM,67.0,10.0,30,6,36,39,under
10/14/1979,1979,GNB,DET,41.0,10.0,24,16,40,36,over
10/14/1979,1979,KAN,DEN,47.0,12.0,10,24,34,34,under
10/14/1979,1979,MIA,BUF,74.0,12.0,17,7,24,40,under
10/14/1979,1979,NYG,SFO,49.0,18.0,32,16,48,38,over
10/14/1979,1979,RAI,ATL,68.0,9.0,50,19,69,37,over
10/14/1979,1979,SDG,SEA,72.0,8.0,20,10,30,44,under
10/14/1979,1979,CRD,PHI,47.0,9.0,20,24,44,38,over
10/14/1979,1979,TAM,NOR,75.0,11.0,14,42,56,38,over
10/15/1979,1979,NYJ,MIN,50.0,13.0,14,7,21,42,under
10/21/1979,1979,BUF,CLT,71.0,18.0,13,14,27,39,under
10/21/1979,1979,CLE,CIN,71.0,18.0,28,27,55,39,over
10/21/1979,1979,DAL,CRD,81.0,24.0,22,13,35,39,under
10/21/1979,1979,KAN,NYG,79.0,30.0,17,21,38,36,over
10/21/1979,1979,RAM,SDG,63.0,14.0,16,40,56,37,over
10/21/1979,1979,MIN,CHI,51.0,12.0,30,27,57,36,over
10/21/1979,1979,NWE,MIA,65.0,14.0,28,13,41,38,over
10/21/1979,1979,NOR,DET,72.0,0.0,17,7,24,42,under
10/21/1979,1979,NYJ,RAI,65.0,9.0,28,19,47,42,over
10/21/1979,1979,SFO,ATL,57.0,7.0,20,15,35,42,under
10/21/1979,1979,SEA,OTI,72.0,0.0,34,14,48,42,over
10/21/1979,1979,TAM,GNB,78.0,10.0,21,3,24,37,under
10/21/1979,1979,WAS,PHI,70.0,9.0,17,7,24,38,under
10/22/1979,1979,PIT,DEN,68.0,9.0,42,7,49,37,over
10/25/1979,1979,RAI,SDG,66.0,17.0,45,22,67,41,over
10/28/1979,1979,CLT,NWE,46.0,6.0,31,26,57,37,over
10/28/1979,1979,CIN,PHI,58.0,11.0,37,13,50,38,over
10/28/1979,1979,DEN,KAN,47.0,7.0,20,3,23,34,under
10/28/1979,1979,DET,BUF,72.0,0.0,17,20,37,38,under
10/28/1979,1979,OTI,NYJ,72.0,0.0,27,24,51,42,over
10/28/1979,1979,RAM,NYG,62.0,8.0,14,20,34,37,under
10/28/1979,1979,MIA,GNB,75.0,13.0,27,7,34,36,under
10/28/1979,1979,MIN,TAM,47.0,5.0,10,12,22,37,under
10/28/1979,1979,PIT,DAL,51.0,12.0,14,3,17,39,under
10/28/1979,1979,SFO,CHI,60.0,17.0,27,28,55,39,over
10/28/1979,1979,CRD,CLE,60.0,8.0,20,38,58,42,over
10/28/1979,1979,WAS,NOR,51.0,10.0,10,14,24,40,under
10/29/1979,1979,ATL,SEA,60.0,9.0,28,31,59,42,over
11/4/1979,1979,ATL,TAM,49.0,10.0,17,14,31,37,under
11/4/1979,1979,CLT,CIN,45.0,10.0,38,28,66,42,over
11/4/1979,1979,BUF,NWE,42.0,11.0,6,26,32,41,under
11/4/1979,1979,CHI,DET,38.0,9.0,35,7,42,35,over
11/4/1979,1979,DEN,NOR,38.0,7.0,10,3,13,37,under
11/4/1979,1979,GNB,NYJ,34.0,10.0,22,27,49,39,over
11/4/1979,1979,KAN,SDG,47.0,16.0,14,20,34,37,under
11/4/1979,1979,NYG,DAL,47.0,13.0,14,16,30,38,under
11/4/1979,1979,RAI,SFO,59.0,9.0,23,10,33,44,under
11/4/1979,1979,PHI,CLE,44.0,10.0,19,24,43,41,over
11/4/1979,1979,PIT,WAS,41.0,7.0,38,7,45,37,over
11/4/1979,1979,SEA,RAM,72.0,0.0,0,24,24,41,under
11/4/1979,1979,CRD,MIN,44.0,8.0,37,7,44,39,over
11/5/1979,1979,MIA,OTI,77.0,17.0,6,9,15,39,under
11/11/1979,1979,CHI,RAM,28.0,6.0,27,23,50,34,over
11/11/1979,1979,CIN,SDG,35.0,10.0,24,26,50,43,over
11/11/1979,1979,CLE,SEA,36.0,12.0,24,29,53,43,over
11/11/1979,1979,DEN,NWE,35.0,11.0,45,10,55,34,over
11/11/1979,1979,DET,TAM,72.0,0.0,14,16,30,35,under
11/11/1979,1979,GNB,MIN,26.0,6.0,19,7,26,37,under
11/11/1979,1979,OTI,RAI,72.0,0.0,31,17,48,40,over
11/11/1979,1979,KAN,PIT,34.0,15.0,3,30,33,38,under
11/11/1979,1979,MIA,CLT,81.0,13.0,19,0,19,38,under
11/11/1979,1979,NOR,SFO,72.0,0.0,31,20,51,42,over
11/11/1979,1979,NYG,ATL,52.0,10.0,24,3,27,36,under
11/11/1979,1979,NYJ,BUF,52.0,10.0,12,14,26,42,under
11/11/1979,1979,WAS,CRD,55.0,12.0,30,28,58,39,over
11/12/1979,1979,DAL,PHI,45.0,5.0,21,31,52,38,over
11/18/1979,1979,BUF,GNB,44.0,10.0,19,12,31,37,under
11/18/1979,1979,CHI,NYJ,56.0,12.0,23,13,36,39,under
11/18/1979,1979,CLE,MIA,50.0,12.0,30,24,54,40,over
11/18/1979,1979,OTI,CIN,72.0,0.0,42,21,63,43,over
11/18/1979,1979,MIN,DET,47.0,9.0,14,7,21,37,under
11/18/1979,1979,NWE,CLT,49.0,11.0,50,21,71,40,over
11/18/1979,1979,RAI,KAN,57.0,13.0,21,24,45,38,over
11/18/1979,1979,PHI,CRD,50.0,8.0,16,13,29,39,under
11/18/1979,1979,SDG,PIT,63.0,9.0,35,7,42,39,over
11/18/1979,1979,SFO,DEN,55.0,14.0,28,38,66,39,over
11/18/1979,1979,SEA,NOR,72.0,0.0,38,24,62,42,over
11/18/1979,1979,TAM,NYG,63.0,7.0,31,3,34,34,under
11/18/1979,1979,WAS,DAL,56.0,7.0,34,20,54,37,over
